date;time;species;infestation;replicate;specimen;wet_wgt;dry_wgt;inf_size
01/05/2021;0;Acanthochitona garnoti;infested;2;2;4281,20;NA;NA
01/05/2021;0;Acanthochitona garnoti;infested;2;3;2546,70;NA;NA
01/05/2021;0;Acanthochitona garnoti;non infested;3;1;1696,90;NA;NA
01/05/2021;0;Acanthochitona garnoti;non infested;3;2;2522,20;NA;NA
01/05/2021;0;Acanthochitona garnoti;non infested;3;3;2386,10;NA;NA
01/05/2021;0;Acanthochitona garnoti;infested;3;1;2941,80;NA;NA
01/05/2021;0;Acanthochitona garnoti;infested;3;2;2723,80;NA;NA
01/05/2021;0;Acanthochitona garnoti;infested;3;3;3858,90;NA;NA
01/05/2021;15;Acanthochitona garnoti;non infested;1;1;3743,90;1274,30;23,00
01/05/2021;15;Acanthochitona garnoti;non infested;1;2;1898,30;672,50;19,00
01/05/2021;15;Acanthochitona garnoti;non infested;1;3;1733,70;584,80;21,00
01/05/2021;15;Acanthochitona garnoti;infested;1;1;2095,90;684,90;16,00
01/05/2021;15;Acanthochitona garnoti;infested;1;2;2248,30;758,40;18,00
01/05/2021;15;Acanthochitona garnoti;infested;1;3;2128,20;822,20;18,00
01/05/2021;15;Acanthochitona garnoti;non infested;2;1;1637,60;576,30;17,00
01/05/2021;15;Acanthochitona garnoti;non infested;2;2;1371,50;543,30;NA
01/05/2021;15;Acanthochitona garnoti;non infested;2;3;1699,00;564,80;16,00
01/05/2021;15;Acanthochitona garnoti;infested;2;1;2097,50;748,90;23,00
01/05/2021;15;Acanthochitona garnoti;infested;2;2;1716,90;628,30;22,00
01/05/2021;15;Acanthochitona garnoti;infested;2;3;2268,10;806,80;21,00
01/05/2021;15;Acanthochitona garnoti;non infested;3;1;2819,90;960,10;20,00
01/05/2021;15;Acanthochitona garnoti;non infested;3;2;2010,70;657,20;24,00
01/05/2021;15;Acanthochitona garnoti;non infested;3;3;2213,00;824,30;NA
01/05/2021;15;Acanthochitona garnoti;infested;3;1;4160,90;1524,60;26,00
01/05/2021;15;Acanthochitona garnoti;infested;3;2;1863,70;671,50;20,00
01/05/2021;15;Acanthochitona garnoti;infested;3;3;1076,50;354,70;NA
01/05/2021;30;Acanthochitona garnoti;non infested;1;1;4034,70;1337,00;27,00
01/05/2021;30;Acanthochitona garnoti;non infested;1;2;2094,10;799,00;23,00
01/05/2021;30;Acanthochitona garnoti;non infested;1;3;2377,30;855,20;18,00
01/05/2021;30;Acanthochitona garnoti;infested;1;1;3651,70;1345,30;26,00
01/05/2021;30;Acanthochitona garnoti;infested;1;2;1866,40;631,70;17,00
01/05/2021;30;Acanthochitona garnoti;infested;1;3;2026,00;654,30;19,00
01/05/2021;30;Acanthochitona garnoti;non infested;2;1;1574,60;584,60;16,00
01/05/2021;30;Acanthochitona garnoti;non infested;2;2;3363,50;1269,30;24,00
01/05/2021;30;Acanthochitona garnoti;non infested;2;3;2600,50;927,90;20,00
01/05/2021;30;Acanthochitona garnoti;infested;2;1;2889,30;1064,20;23,00
01/05/2021;30;Acanthochitona garnoti;infested;2;2;1434,10;525,90;NA
01/05/2021;30;Acanthochitona garnoti;infested;2;3;1465,00;509,70;17,00
01/05/2021;30;Acanthochitona garnoti;non infested;3;1;2404,20;811,30;20,00
01/05/2021;30;Acanthochitona garnoti;non infested;3;2;1842,70;484,90;22,00
01/05/2021;30;Acanthochitona garnoti;non infested;3;3;3304,30;1298,50;21,00
01/05/2021;30;Acanthochitona garnoti;infested;3;1;2293,60;806,80;23,00
01/05/2021;30;Acanthochitona garnoti;infested;3;2;2522,00;824,90;20,00
01/05/2021;30;Acanthochitona garnoti;infested;3;3;1610,70;586,50;21,00
01/05/2021;60;Acanthochitona garnoti;non infested;1;1;3959,10;1599,60;21,00
01/05/2021;60;Acanthochitona garnoti;non infested;1;2;2608,70;932,20;20,00
01/05/2021;60;Acanthochitona garnoti;non infested;1;3;2387,10;843,90;18,00
01/05/2021;60;Acanthochitona garnoti;infested;1;1;1697,80;664,10;16,00
01/05/2021;60;Acanthochitona garnoti;infested;1;2;2657,70;1020,10;21,00
01/05/2021;60;Acanthochitona garnoti;infested;1;3;2523,50;1000,20;NA
01/05/2021;60;Acanthochitona garnoti;non infested;2;1;3339,30;1280,40;27,00
01/05/2021;60;Acanthochitona garnoti;non infested;2;2;1885,20;657,50;20,00
01/05/2021;60;Acanthochitona garnoti;non infested;2;3;1883,30;762,30;18,00
01/05/2021;60;Acanthochitona garnoti;infested;2;1;2296,80;839,70;19,00
01/05/2021;60;Acanthochitona garnoti;infested;2;2;892,40;322,30;16,00
01/05/2021;60;Acanthochitona garnoti;infested;2;3;1854,50;669,60;14,00
01/05/2021;60;Acanthochitona garnoti;non infested;3;1;1549,10;586,40;NA
01/05/2021;60;Acanthochitona garnoti;non infested;3;2;2894,00;1035,40;22,00
01/05/2021;60;Acanthochitona garnoti;non infested;3;3;3469,00;1221,40;24,00
01/05/2021;60;Acanthochitona garnoti;infested;3;1;2319,40;886,70;22,00
01/05/2021;60;Acanthochitona garnoti;infested;3;2;2567,50;1087,90;20,00
01/05/2021;60;Acanthochitona garnoti;infested;3;3;2105,50;770,50;17,00
01/05/2021;90;Acanthochitona garnoti;non infested;1;1;2500,40;1001,00;21,00
01/05/2021;90;Acanthochitona garnoti;non infested;1;2;3146,30;1190,60;25,00
01/05/2021;90;Acanthochitona garnoti;non infested;1;3;2866,10;1154,80;20,00
01/05/2021;90;Acanthochitona garnoti;infested;1;1;1772,10;647,60;19,00
01/05/2021;90;Acanthochitona garnoti;infested;1;2;1934,00;764,10;NA
01/05/2021;90;Acanthochitona garnoti;infested;1;3;3473,50;1338,30;25,00
01/05/2021;90;Acanthochitona garnoti;non infested;2;1;2174,10;804,00;18,00
01/05/2021;90;Acanthochitona garnoti;non infested;2;2;3311,60;1111,80;21,00
01/05/2021;90;Acanthochitona garnoti;non infested;2;3;2138,90;715,20;20,00
